protocol,speed_ms,txpower_dbm,rssi_label,run,pdr_pct,avg_delay_ms,throughput_mbps,jitter_ms,routing_overhead_pkts,avg_rssi_dbm,min_rssi_dbm,max_rssi_dbm
aodv,1.0,20,Yuksek_RSSI,1,100.0,9.854,0.945,9.354,218,-74.3,-75,-73
aodv,1.0,20,Yuksek_RSSI,2,100.0,2.128,1.995,4.61,206,-74.3,-75,-73
aodv,1.0,20,Yuksek_RSSI,3,100.0,3.197,1.996,3.202,218,-74.3,-75,-73
aodv,1.0,15,Orta_RSSI,1,100.0,3.928,0.941,13.715,218,-79.3,-80,-78
aodv,1.0,15,Orta_RSSI,2,100.0,3.56,0.944,13.55,218,-79.3,-80,-78
aodv,1.0,15,Orta_RSSI,3,100.0,3.239,0.944,12.59,218,-79.3,-80,-78
aodv,1.0,10,Dusuk_RSSI,1,93.33,4.13,0.901,2.815,212,-83.7,-84,-83
aodv,1.0,10,Dusuk_RSSI,2,93.33,4.652,0.902,2.386,218,-83.7,-84,-83
aodv,1.0,10,Dusuk_RSSI,3,93.33,3.925,0.899,2.544,213,-83.7,-84,-83
aodv,5.0,20,Yuksek_RSSI,1,100.0,1.829,1.995,3.868,206,-74.3,-75,-73
aodv,5.0,20,Yuksek_RSSI,2,100.0,1.528,1.996,4.514,206,-74.3,-75,-73
aodv,5.0,20,Yuksek_RSSI,3,100.0,1.485,1.993,5.668,208,-74.3,-75,-73
aodv,5.0,15,Orta_RSSI,1,100.0,3.233,0.94,14.98,218,-79.3,-80,-78
aodv,5.0,15,Orta_RSSI,2,100.0,3.161,0.945,12.108,218,-79.3,-80,-78
aodv,5.0,15,Orta_RSSI,3,100.0,4.145,0.944,12.549,218,-79.3,-80,-78
aodv,5.0,10,Dusuk_RSSI,1,93.33,5.06,0.879,4.224,220,-83.7,-84,-83
aodv,5.0,10,Dusuk_RSSI,2,93.33,8.749,0.859,10.57,221,-83.7,-84,-83
aodv,5.0,10,Dusuk_RSSI,3,93.33,4.388,0.901,2.877,213,-83.7,-84,-83
aodv,10.0,20,Yuksek_RSSI,1,100.0,1.744,1.994,4.418,208,-74.3,-75,-73
aodv,10.0,20,Yuksek_RSSI,2,100.0,1.525,1.993,3.497,206,-74.3,-75,-73
aodv,10.0,20,Yuksek_RSSI,3,100.0,2.047,1.996,6.079,206,-74.3,-75,-73
aodv,10.0,15,Orta_RSSI,1,100.0,3.475,0.945,12.171,218,-79.3,-80,-78
aodv,10.0,15,Orta_RSSI,2,100.0,3.411,0.945,9.904,218,-79.3,-80,-78
aodv,10.0,15,Orta_RSSI,3,100.0,3.306,0.946,12.832,218,-79.3,-80,-78
aodv,10.0,10,Dusuk_RSSI,1,93.33,4.36,0.903,2.357,218,-83.7,-84,-83
aodv,10.0,10,Dusuk_RSSI,2,93.33,4.292,0.901,3.322,212,-83.7,-84,-83
aodv,10.0,10,Dusuk_RSSI,3,93.33,4.288,0.902,2.177,212,-83.7,-84,-83
olsrd,1.0,20,Yuksek_RSSI,1,100.0,2.474,1.993,5.007,65,-74.3,-75,-73
olsrd,1.0,20,Yuksek_RSSI,2,100.0,1.927,1.994,5.581,64,-74.3,-75,-73
olsrd,1.0,20,Yuksek_RSSI,3,100.0,1.259,1.995,3.839,63,-74.3,-75,-73
olsrd,1.0,15,Orta_RSSI,1,100.0,3.073,0.947,13.73,64,-79.3,-80,-78
olsrd,1.0,15,Orta_RSSI,2,100.0,3.129,0.943,23.891,64,-79.3,-80,-78
olsrd,1.0,15,Orta_RSSI,3,100.0,3.41,0.947,10.077,64,-79.3,-80,-78
olsrd,1.0,10,Dusuk_RSSI,1,100.0,4.704,0.904,6.008,57,-83.7,-84,-83
olsrd,1.0,10,Dusuk_RSSI,2,100.0,9.192,0.9,5.687,56,-83.7,-84,-83
olsrd,1.0,10,Dusuk_RSSI,3,100.0,8.867,0.881,6.514,60,-83.7,-84,-83
olsrd,5.0,20,Yuksek_RSSI,1,100.0,4.578,1.997,4.861,62,-74.3,-75,-73
olsrd,5.0,20,Yuksek_RSSI,2,100.0,4.446,1.994,5.176,64,-74.3,-75,-73
olsrd,5.0,20,Yuksek_RSSI,3,100.0,2.592,1.993,4.648,63,-74.3,-75,-73
olsrd,5.0,15,Orta_RSSI,1,100.0,5.911,0.944,13.623,64,-79.3,-80,-78
olsrd,5.0,15,Orta_RSSI,2,100.0,5.694,0.948,13.477,63,-79.3,-80,-78
olsrd,5.0,15,Orta_RSSI,3,100.0,4.666,0.944,10.526,63,-79.3,-80,-78
olsrd,5.0,10,Dusuk_RSSI,1,100.0,8.593,0.899,2.525,58,-83.7,-84,-83
olsrd,5.0,10,Dusuk_RSSI,2,100.0,9.316,0.901,2.397,58,-83.7,-84,-83
olsrd,5.0,10,Dusuk_RSSI,3,100.0,8.779,0.9,5.57,59,-83.7,-84,-83
olsrd,10.0,20,Yuksek_RSSI,1,100.0,2.872,1.995,2.983,62,-74.3,-75,-73
olsrd,10.0,20,Yuksek_RSSI,2,100.0,5.473,1.994,3.714,61,-74.3,-75,-73
olsrd,10.0,20,Yuksek_RSSI,3,100.0,4.173,1.992,4.652,62,-74.3,-75,-73
olsrd,10.0,15,Orta_RSSI,1,100.0,4.486,0.944,13.809,65,-79.3,-80,-78
olsrd,10.0,15,Orta_RSSI,2,100.0,6.331,0.946,14.037,65,-79.3,-80,-78
olsrd,10.0,15,Orta_RSSI,3,100.0,4.494,0.947,12.427,66,-79.3,-80,-78
olsrd,10.0,10,Dusuk_RSSI,1,100.0,9.047,0.855,6.002,58,-83.7,-84,-83
olsrd,10.0,10,Dusuk_RSSI,2,100.0,8.313,0.864,15.737,59,-83.7,-84,-83
olsrd,10.0,10,Dusuk_RSSI,3,100.0,8.487,0.9,5.999,59,-83.7,-84,-83
